locationid,year,month,temperature,latitude,longitude,elevation,station,countryid,country,latabs
MXM00076647,2023,4,,20.683,-88.2,27.0,VALLADOLIDYUC,MX,Mexico,20.683
MXM00076656,2023,4,,19.717,-103.467,1515.0,CIUDAD_GUZMANJAL,MX,Mexico,19.717
MXM00076658,2023,4,26.87,19.277,-103.577,751.9,COLIMA,MX,Mexico,19.277
MXM00076665,2023,4,,19.7,-101.183,1913.0,MORELIAMICH,MX,Mexico,19.7
MXM00076675,2023,4,,19.283,-99.683,2720.0,TOLUCAMEX,MX,Mexico,19.283
MXM00076685,2023,4,21.12,19.158,-98.371,2243.6,HERMANOS_SERDAN_INTL,MX,Mexico,19.158
MXM00076687,2023,4,,19.55,-96.917,1389.0,JALAPAVER,MX,Mexico,19.55
MXM00076692,2023,4,,19.15,-96.117,16.0,HACIENDA_YLANG_YLANG_VERACRUZ,MX,Mexico,19.15
MXM00076695,2023,4,29.77,19.817,-90.5,10.4,INGENIERO_ALBERTO_ACUNA_ONGAY,MX,Mexico,19.817
MXM00076737,2023,4,,18.85,-97.1,1259.0,ORIZABAVER,MX,Mexico,18.85
MXM00076741,2023,4,,18.133,-94.417,22.0,COATZACOALCOSVER,MX,Mexico,18.133
MXM00076743,2023,4,,17.983,-92.933,16.0,VILLAHERMOSATAB,MX,Mexico,17.983
MXM00076750,2023,4,28.66,18.505,-88.327,11.9,CHETUMAL_INTL,MX,Mexico,18.505
MXM00076762,2023,4,,17.55,-99.5,1265.0,CHILPANCINGORO,MX,Mexico,17.55
MXM00076775,2023,4,,17.05,-96.717,1518.0,OAXACAOAX,MX,Mexico,17.05
MXM00076805,2023,4,,16.833,-99.933,3.0,ACAPULCOGRO,MX,Mexico,16.833
MXM00076840,2023,4,,16.233,-93.9,48.0,ARRIAGACHIS,MX,Mexico,16.233
MXM00076843,2023,4,29.63,16.77,-93.341,1051.9,FRANCISCO_SARABIA,MX,Mexico,16.77
MXM00076845,2023,4,,16.75,-92.633,2116.0,SN_CRISTOBAL_LAS_CASASCHIS,MX,Mexico,16.75
MXM00076848,2023,4,,16.25,-92.133,1646.0,COMITANCHIS,MX,Mexico,16.25
MXM00076855,2023,4,,15.683,-96.483,46.0,PUERTO_ANGELOAX,MX,Mexico,15.683
MXM00076903,2023,4,,14.917,-92.25,118.0,TAPACHULACHIS,MX,Mexico,14.917
MX000003035,2023,5,24.85,26.017,-111.333,7.0,LORETO,MX,Mexico,26.017
MX000003068,2023,5,21.2,24.95,-111.7,48.0,CIUDAD_CONSTITUCION,MX,Mexico,24.95
MX000003074,2023,5,24.85,24.167,-110.3,18.0,LA_PAZ_CITY,MX,Mexico,24.167
MX000005047,2023,5,27.4,26.883,-101.433,615.0,MONCLOVA,MX,Mexico,26.883
MX000005048,2023,5,,25.367,-101.017,1790.0,SALTILLO,MX,Mexico,25.367
MX000008142,2023,5,17.2,28.95,-107.817,1932.0,TEMOSACHIC,MX,Mexico,28.95
MX000008184,2023,5,21.25,30.367,-107.95,1487.0,NUEVA_CASAS_GRANDES,MX,Mexico,30.367
MX000014066,2023,5,,20.72,-103.38,1583.0,GUADALAJARA,MX,Mexico,20.72
MX000016144,2023,5,,20.0,-102.28,1540.0,ZAMORA,MX,Mexico,20.0
MX000017004,2023,5,21.65,18.883,-99.233,1618.0,CUERNAVACA,MX,Mexico,18.883
MX000023003,2023,5,,19.7,-87.9,12.0,FELIPE_CARRILLO_PUE,MX,Mexico,19.7
MX000025017,2023,5,,26.733,-108.283,238.0,CHOIX,MX,Mexico,26.733
MX000028116,2023,5,26.9,23.733,-99.133,355.0,CIUDAD_VICTORIA,MX,Mexico,23.733
MX000029030,2023,5,19.25,19.32,-98.23,2240.0,XICOHTENCATL,MX,Mexico,19.32
MX000076393,2023,5,,25.733,-100.3,515.0,MONTERREY_CITY,MX,Mexico,25.733
MX000076458,2023,5,,23.2,-106.417,4.0,COLONIA_JUAN_CARRAS,MX,Mexico,23.2
MX000076577,2023,5,23.15,21.0,-101.283,1999.0,GUANAJUATO,MX,Mexico,21.0
MX000076644,2023,5,30.45,20.983,-89.65,9.0,AEROPINTERNACIONAL,MX,Mexico,20.983
MX000076654,2023,5,,19.05,-104.317,3.0,MANZANILLO,MX,Mexico,19.05
MX000766800,2023,5,,19.4,-99.183,2303.0,MEXICO_CITY,MX,Mexico,19.4
MX000768330,2023,5,,16.167,-95.183,11.0,SALINA_CRUZ,MX,Mexico,16.167
MXM00076040,2023,5,,32.4,-115.183,11.0,EJIDO_NUEVO_LEON_BC,MX,Mexico,32.4
MXM00076061,2023,5,23.8,31.3,-113.55,62.0,PUERTO_PENASCOSON,MX,Mexico,31.3
MXM00076113,2023,5,,30.717,-111.833,398.0,ALTARSON,MX,Mexico,30.717
MXM00076160,2023,5,27.45,29.096,-111.048,191.1,GENERAL_IGNACIO_P_GARCIA_INTL,MX,Mexico,29.096
MXM00076225,2023,5,,28.633,-106.083,1433.0,CHIHUAHUACHIH,MX,Mexico,28.633
MXM00076243,2023,5,27.2,28.627,-100.535,274.6,PIEDRAS_NEGRAS_INTL,MX,Mexico,28.627
MXM00076253,2023,5,27.76,27.393,-109.833,62.5,CIUDAD_OBREGON_INTL,MX,Mexico,27.393
MXM00076256,2023,5,24.65,27.95,-110.767,12.0,EMPALMESON,MX,Mexico,27.95
MXM00076258,2023,5,24.1,27.367,-109.933,40.0,CIUDAD_OBREGONSON,MX,Mexico,27.367
MXM00076323,2023,5,23.6,26.933,-105.667,1661.0,HIDALGO_DEL_PARRALCHIH,MX,Mexico,26.933
MXM00076382,2023,5,27.98,25.568,-103.411,1124.1,TORREON_INTL,MX,Mexico,25.568
MXM00076412,2023,5,28.66,24.765,-107.475,32.9,CULIACAN_INTL,MX,Mexico,24.765
MXM00076423,2023,5,,24.05,-104.6,1872.0,DURANGODGO,MX,Mexico,24.05
MXM00076471,2023,5,,23.633,-103.65,2351.0,SOMBRERETEZAC,MX,Mexico,23.633
MXM00076499,2023,5,,23.767,-98.2,21.0,SOTO_LA_MARINATAMPS,MX,Mexico,23.767
MXM00076519,2023,5,,22.1,-103.267,1673.0,COLOTLANJAL,MX,Mexico,22.1
MXM00076525,2023,5,18.4,22.783,-102.567,2612.0,ZACATECASZAC_LA_BUFAZAC,MX,Mexico,22.783
MXM00076539,2023,5,20.26,22.254,-100.931,1839.5,PONCIANO_ARRIAGA_INTL,MX,Mexico,22.254
MXM00076548,2023,5,28.65,22.2,-97.85,25.0,TAMPICOTAMPS,MX,Mexico,22.2
MXM00076556,2023,5,25.95,21.419,-104.843,920.5,TEPIC,MX,Mexico,21.419
MXM00076571,2023,5,20.09,21.705,-102.318,1862.9,JESUS_TERAN_INTL,MX,Mexico,21.705
MXM00076581,2023,5,,21.933,-99.983,983.0,RIO_VERDESLP,MX,Mexico,21.933
MXM00076585,2023,5,28.1,21.317,-98.817,132.0,MATLAPASLP,MX,Mexico,21.317
MXM00076593,2023,5,28.8,21.3,-89.65,2.0,PROGRESOYUC,MX,Mexico,21.3
MXM00076625,2023,5,20.84,20.617,-100.186,1919.0,QUERETARO_INTERCONTINENTAL,MX,Mexico,20.617
MXM00076632,2023,5,19.55,20.133,-98.75,2435.0,PACHUCAHGO,MX,Mexico,20.133
MXM00076634,2023,5,20.35,20.083,-98.367,2181.0,TULANCINGOHGO,MX,Mexico,20.083
MXM00076640,2023,5,28.75,20.95,-97.4,28.0,TUXPANVER,MX,Mexico,20.95
MXM00076647,2023,5,30.85,20.683,-88.2,27.0,VALLADOLIDYUC,MX,Mexico,20.683
MXM00076656,2023,5,24.2,19.717,-103.467,1515.0,CIUDAD_GUZMANJAL,MX,Mexico,19.717
MXM00076658,2023,5,29.06,19.277,-103.577,751.9,COLIMA,MX,Mexico,19.277
MXM00076665,2023,5,,19.7,-101.183,1913.0,MORELIAMICH,MX,Mexico,19.7
MXM00076675,2023,5,16.15,19.283,-99.683,2720.0,TOLUCAMEX,MX,Mexico,19.283
MXM00076685,2023,5,20.6,19.158,-98.371,2243.6,HERMANOS_SERDAN_INTL,MX,Mexico,19.158
MXM00076687,2023,5,22.0,19.55,-96.917,1389.0,JALAPAVER,MX,Mexico,19.55
MXM00076692,2023,5,,19.15,-96.117,16.0,HACIENDA_YLANG_YLANG_VERACRUZ,MX,Mexico,19.15
MXM00076695,2023,5,29.71,19.817,-90.5,10.4,INGENIERO_ALBERTO_ACUNA_ONGAY,MX,Mexico,19.817
MXM00076737,2023,5,,18.85,-97.1,1259.0,ORIZABAVER,MX,Mexico,18.85
MXM00076741,2023,5,,18.133,-94.417,22.0,COATZACOALCOSVER,MX,Mexico,18.133
MXM00076743,2023,5,30.65,17.983,-92.933,16.0,VILLAHERMOSATAB,MX,Mexico,17.983
MXM00076750,2023,5,29.45,18.505,-88.327,11.9,CHETUMAL_INTL,MX,Mexico,18.505
MXM00076762,2023,5,,17.55,-99.5,1265.0,CHILPANCINGORO,MX,Mexico,17.55
MXM00076775,2023,5,,17.05,-96.717,1518.0,OAXACAOAX,MX,Mexico,17.05
MXM00076805,2023,5,29.9,16.833,-99.933,3.0,ACAPULCOGRO,MX,Mexico,16.833
MXM00076840,2023,5,31.5,16.233,-93.9,48.0,ARRIAGACHIS,MX,Mexico,16.233
MXM00076843,2023,5,29.72,16.77,-93.341,1051.9,FRANCISCO_SARABIA,MX,Mexico,16.77
MXM00076845,2023,5,,16.75,-92.633,2116.0,SN_CRISTOBAL_LAS_CASASCHIS,MX,Mexico,16.75
MXM00076848,2023,5,22.25,16.25,-92.133,1646.0,COMITANCHIS,MX,Mexico,16.25
MXM00076855,2023,5,,15.683,-96.483,46.0,PUERTO_ANGELOAX,MX,Mexico,15.683
MXM00076903,2023,5,,14.917,-92.25,118.0,TAPACHULACHIS,MX,Mexico,14.917
MX000003035,2023,6,29.65,26.017,-111.333,7.0,LORETO,MX,Mexico,26.017
MX000003068,2023,6,24.85,24.95,-111.7,48.0,CIUDAD_CONSTITUCION,MX,Mexico,24.95
MX000003074,2023,6,28.75,24.167,-110.3,18.0,LA_PAZ_CITY,MX,Mexico,24.167
MX000005047,2023,6,,26.883,-101.433,615.0,MONCLOVA,MX,Mexico,26.883
MX000005048,2023,6,,25.367,-101.017,1790.0,SALTILLO,MX,Mexico,25.367
MX000008142,2023,6,23.1,28.95,-107.817,1932.0,TEMOSACHIC,MX,Mexico,28.95
MX000008184,2023,6,25.75,30.367,-107.95,1487.0,NUEVA_CASAS_GRANDES,MX,Mexico,30.367
MX000014066,2023,6,,20.72,-103.38,1583.0,GUADALAJARA,MX,Mexico,20.72
MX000016144,2023,6,,20.0,-102.28,1540.0,ZAMORA,MX,Mexico,20.0
MX000017004,2023,6,,18.883,-99.233,1618.0,CUERNAVACA,MX,Mexico,18.883
MX000023003,2023,6,,19.7,-87.9,12.0,FELIPE_CARRILLO_PUE,MX,Mexico,19.7
MX000025017,2023,6,,26.733,-108.283,238.0,CHOIX,MX,Mexico,26.733
MX000028116,2023,6,,23.733,-99.133,355.0,CIUDAD_VICTORIA,MX,Mexico,23.733
MX000029030,2023,6,20.7,19.32,-98.23,2240.0,XICOHTENCATL,MX,Mexico,19.32
MX000076393,2023,6,31.8,25.733,-100.3,515.0,MONTERREY_CITY,MX,Mexico,25.733
MX000076458,2023,6,,23.2,-106.417,4.0,COLONIA_JUAN_CARRAS,MX,Mexico,23.2
MX000076577,2023,6,25.85,21.0,-101.283,1999.0,GUANAJUATO,MX,Mexico,21.0
MX000076644,2023,6,,20.983,-89.65,9.0,AEROPINTERNACIONAL,MX,Mexico,20.983
MX000076654,2023,6,,19.05,-104.317,3.0,MANZANILLO,MX,Mexico,19.05
MX000766800,2023,6,23.1,19.4,-99.183,2303.0,MEXICO_CITY,MX,Mexico,19.4
MX000768330,2023,6,,16.167,-95.183,11.0,SALINA_CRUZ,MX,Mexico,16.167
MXM00076040,2023,6,,32.4,-115.183,11.0,EJIDO_NUEVO_LEON_BC,MX,Mexico,32.4
MXM00076061,2023,6,26.05,31.3,-113.55,62.0,PUERTO_PENASCOSON,MX,Mexico,31.3
MXM00076113,2023,6,,30.717,-111.833,398.0,ALTARSON,MX,Mexico,30.717
MXM00076160,2023,6,31.98,29.096,-111.048,191.1,GENERAL_IGNACIO_P_GARCIA_INTL,MX,Mexico,29.096
MXM00076225,2023,6,28.62,28.633,-106.083,1433.0,CHIHUAHUACHIH,MX,Mexico,28.633
MXM00076243,2023,6,32.5,28.627,-100.535,274.6,PIEDRAS_NEGRAS_INTL,MX,Mexico,28.627
MXM00076253,2023,6,31.44,27.393,-109.833,62.5,CIUDAD_OBREGON_INTL,MX,Mexico,27.393
MXM00076256,2023,6,29.75,27.95,-110.767,12.0,EMPALMESON,MX,Mexico,27.95
MXM00076258,2023,6,31.0,27.367,-109.933,40.0,CIUDAD_OBREGONSON,MX,Mexico,27.367
MXM00076323,2023,6,29.34,26.933,-105.667,1661.0,HIDALGO_DEL_PARRALCHIH,MX,Mexico,26.933
MXM00076382,2023,6,33.0,25.568,-103.411,1124.1,TORREON_INTL,MX,Mexico,25.568
MXM00076412,2023,6,30.57,24.765,-107.475,32.9,CULIACAN_INTL,MX,Mexico,24.765
MXM00076423,2023,6,27.7,24.05,-104.6,1872.0,DURANGODGO,MX,Mexico,24.05
MXM00076471,2023,6,24.5,23.633,-103.65,2351.0,SOMBRERETEZAC,MX,Mexico,23.633
MXM00076499,2023,6,,23.767,-98.2,21.0,SOTO_LA_MARINATAMPS,MX,Mexico,23.767
MXM00076519,2023,6,,22.1,-103.267,1673.0,COLOTLANJAL,MX,Mexico,22.1
MXM00076525,2023,6,22.8,22.783,-102.567,2612.0,ZACATECASZAC_LA_BUFAZAC,MX,Mexico,22.783
MXM00076539,2023,6,23.21,22.254,-100.931,1839.5,PONCIANO_ARRIAGA_INTL,MX,Mexico,22.254
MXM00076548,2023,6,31.2,22.2,-97.85,25.0,TAMPICOTAMPS,MX,Mexico,22.2
MXM00076556,2023,6,26.75,21.419,-104.843,920.5,TEPIC,MX,Mexico,21.419
MXM00076571,2023,6,23.37,21.705,-102.318,1862.9,JESUS_TERAN_INTL,MX,Mexico,21.705
MXM00076581,2023,6,,21.933,-99.983,983.0,RIO_VERDESLP,MX,Mexico,21.933
MXM00076585,2023,6,30.8,21.317,-98.817,132.0,MATLAPASLP,MX,Mexico,21.317
MXM00076593,2023,6,29.5,21.3,-89.65,2.0,PROGRESOYUC,MX,Mexico,21.3
MXM00076625,2023,6,25.95,20.617,-100.186,1919.0,QUERETARO_INTERCONTINENTAL,MX,Mexico,20.617
MXM00076632,2023,6,20.8,20.133,-98.75,2435.0,PACHUCAHGO,MX,Mexico,20.133
MXM00076634,2023,6,21.4,20.083,-98.367,2181.0,TULANCINGOHGO,MX,Mexico,20.083
MXM00076640,2023,6,31.1,20.95,-97.4,28.0,TUXPANVER,MX,Mexico,20.95
MXM00076647,2023,6,31.15,20.683,-88.2,27.0,VALLADOLIDYUC,MX,Mexico,20.683
MXM00076656,2023,6,25.25,19.717,-103.467,1515.0,CIUDAD_GUZMANJAL,MX,Mexico,19.717
MXM00076658,2023,6,27.8,19.277,-103.577,751.9,COLIMA,MX,Mexico,19.277
MXM00076665,2023,6,25.2,19.7,-101.183,1913.0,MORELIAMICH,MX,Mexico,19.7
MXM00076675,2023,6,18.4,19.283,-99.683,2720.0,TOLUCAMEX,MX,Mexico,19.283
MXM00076685,2023,6,21.75,19.158,-98.371,2243.6,HERMANOS_SERDAN_INTL,MX,Mexico,19.158
MXM00076687,2023,6,23.3,19.55,-96.917,1389.0,JALAPAVER,MX,Mexico,19.55
MXM00076692,2023,6,29.95,19.15,-96.117,16.0,HACIENDA_YLANG_YLANG_VERACRUZ,MX,Mexico,19.15
MXM00076695,2023,6,31.4,19.817,-90.5,10.4,INGENIERO_ALBERTO_ACUNA_ONGAY,MX,Mexico,19.817
MXM00076737,2023,6,,18.85,-97.1,1259.0,ORIZABAVER,MX,Mexico,18.85
MXM00076741,2023,6,,18.133,-94.417,22.0,COATZACOALCOSVER,MX,Mexico,18.133
MXM00076743,2023,6,31.9,17.983,-92.933,16.0,VILLAHERMOSATAB,MX,Mexico,17.983
MXM00076750,2023,6,30.5,18.505,-88.327,11.9,CHETUMAL_INTL,MX,Mexico,18.505
MXM00076762,2023,6,27.5,17.55,-99.5,1265.0,CHILPANCINGORO,MX,Mexico,17.55
MXM00076775,2023,6,26.38,17.05,-96.717,1518.0,OAXACAOAX,MX,Mexico,17.05
MXM00076805,2023,6,30.1,16.833,-99.933,3.0,ACAPULCOGRO,MX,Mexico,16.833
MXM00076840,2023,6,28.9,16.233,-93.9,48.0,ARRIAGACHIS,MX,Mexico,16.233
MXM00076843,2023,6,29.46,16.77,-93.341,1051.9,FRANCISCO_SARABIA,MX,Mexico,16.77
MXM00076845,2023,6,,16.75,-92.633,2116.0,SN_CRISTOBAL_LAS_CASASCHIS,MX,Mexico,16.75
MXM00076848,2023,6,22.7,16.25,-92.133,1646.0,COMITANCHIS,MX,Mexico,16.25
MXM00076855,2023,6,,15.683,-96.483,46.0,PUERTO_ANGELOAX,MX,Mexico,15.683
MXM00076903,2023,6,30.35,14.917,-92.25,118.0,TAPACHULACHIS,MX,Mexico,14.917
MX000003035,2023,7,,26.017,-111.333,7.0,LORETO,MX,Mexico,26.017
MX000003068,2023,7,30.15,24.95,-111.7,48.0,CIUDAD_CONSTITUCION,MX,Mexico,24.95
MX000003074,2023,7,32.7,24.167,-110.3,18.0,LA_PAZ_CITY,MX,Mexico,24.167
MX000005047,2023,7,32.35,26.883,-101.433,615.0,MONCLOVA,MX,Mexico,26.883
MX000005048,2023,7,24.3,25.367,-101.017,1790.0,SALTILLO,MX,Mexico,25.367
MX000008142,2023,7,23.65,28.95,-107.817,1932.0,TEMOSACHIC,MX,Mexico,28.95
MX000008184,2023,7,29.25,30.367,-107.95,1487.0,NUEVA_CASAS_GRANDES,MX,Mexico,30.367
MX000014066,2023,7,,20.72,-103.38,1583.0,GUADALAJARA,MX,Mexico,20.72
MX000016144,2023,7,24.7,20.0,-102.28,1540.0,ZAMORA,MX,Mexico,20.0
MX000017004,2023,7,,18.883,-99.233,1618.0,CUERNAVACA,MX,Mexico,18.883
MX000023003,2023,7,,19.7,-87.9,12.0,FELIPE_CARRILLO_PUE,MX,Mexico,19.7
MX000025017,2023,7,30.15,26.733,-108.283,238.0,CHOIX,MX,Mexico,26.733
MX000028116,2023,7,,23.733,-99.133,355.0,CIUDAD_VICTORIA,MX,Mexico,23.733
MX000029030,2023,7,19.0,19.32,-98.23,2240.0,XICOHTENCATL,MX,Mexico,19.32
MX000076393,2023,7,31.55,25.733,-100.3,515.0,MONTERREY_CITY,MX,Mexico,25.733
MX000076458,2023,7,,23.2,-106.417,4.0,COLONIA_JUAN_CARRAS,MX,Mexico,23.2
MX000076577,2023,7,23.3,21.0,-101.283,1999.0,GUANAJUATO,MX,Mexico,21.0
MX000076644,2023,7,31.1,20.983,-89.65,9.0,AEROPINTERNACIONAL,MX,Mexico,20.983
MX000076654,2023,7,,19.05,-104.317,3.0,MANZANILLO,MX,Mexico,19.05
MX000766800,2023,7,,19.4,-99.183,2303.0,MEXICO_CITY,MX,Mexico,19.4
MX000768330,2023,7,,16.167,-95.183,11.0,SALINA_CRUZ,MX,Mexico,16.167
MXM00076040,2023,7,,32.4,-115.183,11.0,EJIDO_NUEVO_LEON_BC,MX,Mexico,32.4
MXM00076061,2023,7,32.75,31.3,-113.55,62.0,PUERTO_PENASCOSON,MX,Mexico,31.3
MXM00076113,2023,7,,30.717,-111.833,398.0,ALTARSON,MX,Mexico,30.717
MXM00076160,2023,7,35.48,29.096,-111.048,191.1,GENERAL_IGNACIO_P_GARCIA_INTL,MX,Mexico,29.096
MXM00076225,2023,7,29.85,28.633,-106.083,1433.0,CHIHUAHUACHIH,MX,Mexico,28.633
MXM00076243,2023,7,33.0,28.627,-100.535,274.6,PIEDRAS_NEGRAS_INTL,MX,Mexico,28.627
MXM00076253,2023,7,32.59,27.393,-109.833,62.5,CIUDAD_OBREGON_INTL,MX,Mexico,27.393
MXM00076256,2023,7,32.7,27.95,-110.767,12.0,EMPALMESON,MX,Mexico,27.95
MXM00076258,2023,7,32.55,27.367,-109.933,40.0,CIUDAD_OBREGONSON,MX,Mexico,27.367
MXM00076323,2023,7,27.4,26.933,-105.667,1661.0,HIDALGO_DEL_PARRALCHIH,MX,Mexico,26.933
MXM00076382,2023,7,31.12,25.568,-103.411,1124.1,TORREON_INTL,MX,Mexico,25.568
MXM00076412,2023,7,32.23,24.765,-107.475,32.9,CULIACAN_INTL,MX,Mexico,24.765
MXM00076423,2023,7,22.8,24.05,-104.6,1872.0,DURANGODGO,MX,Mexico,24.05
MXM00076471,2023,7,21.55,23.633,-103.65,2351.0,SOMBRERETEZAC,MX,Mexico,23.633
MXM00076499,2023,7,,23.767,-98.2,21.0,SOTO_LA_MARINATAMPS,MX,Mexico,23.767
MXM00076519,2023,7,,22.1,-103.267,1673.0,COLOTLANJAL,MX,Mexico,22.1
MXM00076525,2023,7,18.9,22.783,-102.567,2612.0,ZACATECASZAC_LA_BUFAZAC,MX,Mexico,22.783
MXM00076539,2023,7,20.88,22.254,-100.931,1839.5,PONCIANO_ARRIAGA_INTL,MX,Mexico,22.254
MXM00076548,2023,7,30.45,22.2,-97.85,25.0,TAMPICOTAMPS,MX,Mexico,22.2
MXM00076556,2023,7,26.85,21.419,-104.843,920.5,TEPIC,MX,Mexico,21.419
MXM00076571,2023,7,20.14,21.705,-102.318,1862.9,JESUS_TERAN_INTL,MX,Mexico,21.705
MXM00076581,2023,7,,21.933,-99.983,983.0,RIO_VERDESLP,MX,Mexico,21.933
MXM00076585,2023,7,30.45,21.317,-98.817,132.0,MATLAPASLP,MX,Mexico,21.317
MXM00076593,2023,7,30.07,21.3,-89.65,2.0,PROGRESOYUC,MX,Mexico,21.3
MXM00076625,2023,7,20.99,20.617,-100.186,1919.0,QUERETARO_INTERCONTINENTAL,MX,Mexico,20.617
MXM00076632,2023,7,18.6,20.133,-98.75,2435.0,PACHUCAHGO,MX,Mexico,20.133
MXM00076634,2023,7,18.7,20.083,-98.367,2181.0,TULANCINGOHGO,MX,Mexico,20.083
MXM00076640,2023,7,30.15,20.95,-97.4,28.0,TUXPANVER,MX,Mexico,20.95
MXM00076647,2023,7,30.6,20.683,-88.2,27.0,VALLADOLIDYUC,MX,Mexico,20.683
MXM00076656,2023,7,20.9,19.717,-103.467,1515.0,CIUDAD_GUZMANJAL,MX,Mexico,19.717
MXM00076658,2023,7,26.75,19.277,-103.577,751.9,COLIMA,MX,Mexico,19.277
MXM00076665,2023,7,22.05,19.7,-101.183,1913.0,MORELIAMICH,MX,Mexico,19.7
MXM00076675,2023,7,17.1,19.283,-99.683,2720.0,TOLUCAMEX,MX,Mexico,19.283
MXM00076685,2023,7,19.55,19.158,-98.371,2243.6,HERMANOS_SERDAN_INTL,MX,Mexico,19.158
MXM00076687,2023,7,21.94,19.55,-96.917,1389.0,JALAPAVER,MX,Mexico,19.55
MXM00076692,2023,7,29.53,19.15,-96.117,16.0,HACIENDA_YLANG_YLANG_VERACRUZ,MX,Mexico,19.15
MXM00076695,2023,7,30.9,19.817,-90.5,10.4,INGENIERO_ALBERTO_ACUNA_ONGAY,MX,Mexico,19.817
MXM00076737,2023,7,22.49,18.85,-97.1,1259.0,ORIZABAVER,MX,Mexico,18.85
MXM00076741,2023,7,,18.133,-94.417,22.0,COATZACOALCOSVER,MX,Mexico,18.133
MXM00076743,2023,7,30.82,17.983,-92.933,16.0,VILLAHERMOSATAB,MX,Mexico,17.983
MXM00076750,2023,7,31.75,18.505,-88.327,11.9,CHETUMAL_INTL,MX,Mexico,18.505
MXM00076762,2023,7,25.35,17.55,-99.5,1265.0,CHILPANCINGORO,MX,Mexico,17.55
MXM00076775,2023,7,23.59,17.05,-96.717,1518.0,OAXACAOAX,MX,Mexico,17.05
MXM00076805,2023,7,31.24,16.833,-99.933,3.0,ACAPULCOGRO,MX,Mexico,16.833
MXM00076840,2023,7,29.0,16.233,-93.9,48.0,ARRIAGACHIS,MX,Mexico,16.233
MXM00076843,2023,7,27.27,16.77,-93.341,1051.9,FRANCISCO_SARABIA,MX,Mexico,16.77
MXM00076845,2023,7,,16.75,-92.633,2116.0,SN_CRISTOBAL_LAS_CASASCHIS,MX,Mexico,16.75
MXM00076848,2023,7,20.85,16.25,-92.133,1646.0,COMITANCHIS,MX,Mexico,16.25
MXM00076855,2023,7,,15.683,-96.483,46.0,PUERTO_ANGELOAX,MX,Mexico,15.683
MXM00076903,2023,7,30.25,14.917,-92.25,118.0,TAPACHULACHIS,MX,Mexico,14.917
MX000003035,2023,8,33.5,26.017,-111.333,7.0,LORETO,MX,Mexico,26.017
MX000003068,2023,8,31.5,24.95,-111.7,48.0,CIUDAD_CONSTITUCION,MX,Mexico,24.95
MX000003074,2023,8,32.75,24.167,-110.3,18.0,LA_PAZ_CITY,MX,Mexico,24.167
MX000005047,2023,8,33.75,26.883,-101.433,615.0,MONCLOVA,MX,Mexico,26.883
MX000005048,2023,8,23.8,25.367,-101.017,1790.0,SALTILLO,MX,Mexico,25.367
MX000008142,2023,8,22.2,28.95,-107.817,1932.0,TEMOSACHIC,MX,Mexico,28.95
MX000008184,2023,8,26.9,30.367,-107.95,1487.0,NUEVA_CASAS_GRANDES,MX,Mexico,30.367
MX000014066,2023,8,23.1,20.72,-103.38,1583.0,GUADALAJARA,MX,Mexico,20.72
MX000016144,2023,8,23.7,20.0,-102.28,1540.0,ZAMORA,MX,Mexico,20.0
MX000017004,2023,8,20.9,18.883,-99.233,1618.0,CUERNAVACA,MX,Mexico,18.883
MX000023003,2023,8,29.1,19.7,-87.9,12.0,FELIPE_CARRILLO_PUE,MX,Mexico,19.7
MX000025017,2023,8,29.25,26.733,-108.283,238.0,CHOIX,MX,Mexico,26.733
MX000028116,2023,8,31.0,23.733,-99.133,355.0,CIUDAD_VICTORIA,MX,Mexico,23.733
MX000029030,2023,8,19.1,19.32,-98.23,2240.0,XICOHTENCATL,MX,Mexico,19.32
MX000076393,2023,8,32.45,25.733,-100.3,515.0,MONTERREY_CITY,MX,Mexico,25.733
MX000076458,2023,8,30.35,23.2,-106.417,4.0,COLONIA_JUAN_CARRAS,MX,Mexico,23.2
MX000076577,2023,8,21.9,21.0,-101.283,1999.0,GUANAJUATO,MX,Mexico,21.0
MX000076644,2023,8,30.45,20.983,-89.65,9.0,AEROPINTERNACIONAL,MX,Mexico,20.983
MX000076654,2023,8,29.85,19.05,-104.317,3.0,MANZANILLO,MX,Mexico,19.05
MX000766800,2023,8,19.8,19.4,-99.183,2303.0,MEXICO_CITY,MX,Mexico,19.4
MX000768330,2023,8,31.5,16.167,-95.183,11.0,SALINA_CRUZ,MX,Mexico,16.167
MXM00076040,2023,8,,32.4,-115.183,11.0,EJIDO_NUEVO_LEON_BC,MX,Mexico,32.4
MXM00076061,2023,8,32.75,31.3,-113.55,62.0,PUERTO_PENASCOSON,MX,Mexico,31.3
MXM00076113,2023,8,,30.717,-111.833,398.0,ALTARSON,MX,Mexico,30.717
MXM00076160,2023,8,35.7,29.096,-111.048,191.1,GENERAL_IGNACIO_P_GARCIA_INTL,MX,Mexico,29.096
MXM00076225,2023,8,27.1,28.633,-106.083,1433.0,CHIHUAHUACHIH,MX,Mexico,28.633
MXM00076243,2023,8,33.65,28.627,-100.535,274.6,PIEDRAS_NEGRAS_INTL,MX,Mexico,28.627
MXM00076253,2023,8,31.59,27.393,-109.833,62.5,CIUDAD_OBREGON_INTL,MX,Mexico,27.393
MXM00076256,2023,8,33.0,27.95,-110.767,12.0,EMPALMESON,MX,Mexico,27.95
