itemid,citation,creatorid,creator,title,birth_year,death_year,category,creation_date
92844,<em>Maurice Den,22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92844,"House, John, an",22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92844,National Galler,22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92844,"Pickvance, Rona",22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92844,"Pickvance, Rona",22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92844,"Pickvance, Rona",22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92844,"Kerlo, Léo, Re",22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92844,<em>Kenavo Mons,22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92844,"Kerlo, Léo, an",22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92844,"Delouche, Denis",22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92844,“A Historic Gif,22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92936,"Milliken, Willi",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"Glasier, Jessie",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"""Cleveland Muse",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"""Painter Exchan",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"Milliken, Willi",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,The Cleveland M,14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,<em>The America,14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"Isham, Samuel, ",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,The Cleveland M,14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"Neuhaus, Eugen.",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"Pollak, Frances",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"Young, Mahonri ",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"West, Richard V",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"Johnson, Fridol",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"Clark, Jeff. ""T",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"Chong, Alan. <e",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,<em>Antiques</e,14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"Weinberg, H. Ba",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,Cummer Gallery ,14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"Ferris, Scott R",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92937,"Milliken, Willi",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Glasier, Jessie",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"""Cleveland Muse",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Milliken, Willi",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,<em>Memorial Ex,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,The Cleveland M,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Cortissoz, Roya",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Isham, Samuel, ",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Mather, Frank J",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"""Un Artiste Ame",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,The Cleveland M,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Bellows, Emma S",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Kelly, Grace V.",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Eggers, George ",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Neuhaus, Eugen.",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Clark, Edna Mar",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,<em>American Pa,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,<em>Olympic Com,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Mechlin, Leila.",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"""Art's Progress",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Frankfurter, Al",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"""A Stag at Shar",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"""The Picture of",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Pollak, Frances",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Gardner, Helen.",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Burroughs, Alan",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,<em>Catalogue o,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,<em>Catalogue o,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,<em>Trois sièc,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"""Bellows (1882-",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,<em>Life in Ame,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Stites, Raymond",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,<em>An Exhibiti,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"McB[ride], H[en",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Francis, Henry ",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Milliken, Willi",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"""Cleveland Offe",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Boswell, Peyton",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Walker, John, a",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Boswell, Peyton",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,<em>Sport in Am,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Edgell, George ",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,<em>Paintings i,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Tunis, John R. ",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Sweet, Frederic",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,<em>American Pa,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,<em>George Bell,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Bulliet, C. J. ",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"""George W. Bell",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Rich, Daniel Ca",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"""American Art: ",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Sutton, Denys. ",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Winchester, Ali",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Dame, Lawrence.",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Gardner, Helen.",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"""Revolt in Bost",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,<em>Catalogue d,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Rowland, Benjam",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Robb, David M. ",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Bazin, Germain.",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"""Pittura Americ",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Brown, Milton W",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Morris, Charles",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Craven, Thomas.",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Schulberg, Budd",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Eliot, Alexande",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,<em>George Bell,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,<em>Paintings b,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Huth, John F. """,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,The Cleveland M,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Milliken, Willi",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Munro, Eleanor ",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,<em>The Firesid,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Chase, Alice El",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Selvig, Forrest",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Bazin, Germain.",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,<em>200 Years o,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Seaver, Edwin. ",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Morgan, Charles",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Laver, James. <",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,The Cleveland M,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,The Cleveland M,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Brown, Milton W",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,The Cleveland M,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,<em>George Wesl,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Kitaj, R. B., a",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,Ohio Historical,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Salwen, Peter. ",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Haskell, Barbar",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Adams, Henry. <",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Christie, Manso",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,Cleveland Museu,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Fagg, John. ""Ge",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Gillies, Max. """,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Milan, Wardell,",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Brock, Charles.",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Boylan, Alexis ",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Slayton, Robert",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Corbett, David ",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Johnston, April",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Sublette, J. Ma",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"""Punch drunk."" ",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Pearson, Harry.",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Cueff, Alain. <",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
93014,American Art As,2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,American Federa,2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,<em>American Ar,2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,Anderson Galler,2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,Cleveland Museu,2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,"Hoffman, Charle",2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,American Art-Un,2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,<em>Catalogue o,2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,"""The Matthews S",2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,Cleveland Museu,2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,"""Matthews Pictu",2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,"""Accessions."" <",2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,"Downes, William",2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,"Francis, Henry ",2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,"Kellner, Sydney",2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,Carnegie Instit,2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,"Nathan, Walter ",2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,"Watson, Jane. """,2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,"Lane, James W. ",2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,"Ault, George. """,2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,"Lesley, Parker.",2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,"Frankenstein, A",2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,"Devree, Howard.",2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,The Cleveland M,2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,The Cleveland M,2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,The Cleveland M,2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,"Talbot, William",2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,"Hamilton, Georg",2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,"Celeste, Adam, ",2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,Cleveland Museu,2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,"Talbot, William",2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,"Barnett, Lincol",2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,Albright-Knox A,2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,"Field, Marta. <",2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
93014,"Johnson, Mark M",2659,Thomas Cole (Am,"View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
